,Rank,NOC,Gold,Silver,Bronze,Total,Year
746,70,PRT,0,1,0,1,2012
747,77,GRC,0,0,2,2,2012
748,79,MAR,0,0,1,1,2012
749,1,USA,46,37,38,121,2016
750,2,GBR,27,23,17,67,2016
751,3,CHN,26,18,26,70,2016
752,5,DEU,17,10,15,42,2016
753,6,JPN,12,8,21,41,2016
754,7,FRA,10,18,14,42,2016
755,8,,9,3,9,21,2016
756,9,ITA,8,12,8,28,2016
757,10,AUS,8,11,10,29,2016
758,11,NLD,8,7,4,19,2016
759,12,HUN,8,3,4,15,2016
760,15,KEN,6,6,1,13,2016
761,16,JAM,6,3,2,11,2016
762,17,HRV,5,3,2,10,2016
763,19,NZL,4,9,5,18,2016
764,20,CAN,4,3,15,22,2016
765,22,COL,3,2,3,8,2016
766,23,CHE,3,2,2,7,2016
767,24,,3,1,4,8,2016
768,25,GRC,3,1,2,6,2016
769,26,ARG,3,1,0,4,2016
770,27,DNK,2,6,7,15,2016
771,28,SWE,2,6,3,11,2016
772,29,ZAF,2,6,2,10,2016
773,30,KAZ,2,5,10,17,2016
774,33,POL,2,3,6,11,2016
775,34,,2,3,2,7,2016
776,35,BEL,2,2,2,6,2016
777,37,SVK,2,2,0,4,2016
778,38,GEO,2,1,4,7,2016
779,39,AZE,1,7,10,18,2016
780,41,,1,3,4,8,2016
781,46,IDN,1,2,0,3,2016
782,47,ROU,1,1,2,4,2016
783,50,,1,0,2,3,2016
784,61,MEX,0,3,2,5,2016
785,63,IRL,0,2,0,2,2016
786,66,BGR,0,1,2,3,2016
787,67,IND,0,1,1,2,2016
788,74,NOR,0,0,4,4,2016
789,77,ISR,0,0,2,2,2016
790,78,AUT,0,0,1,1,2016
791,78,FIN,0,0,1,1,2016
792,78,MAR,0,0,1,1,2016
793,78,PRT,0,0,1,1,2016
794,1,USA,39,41,33,113,2020
795,2,CHN,38,32,19,89,2020
796,3,JPN,27,14,17,58,2020
797,4,GBR,22,20,22,64,2020
798,6,AUS,17,7,22,46,2020
799,7,NLD,10,12,14,36,2020
800,8,FRA,10,12,11,33,2020
801,9,DEU,10,11,16,37,2020
802,10,ITA,10,10,20,40,2020
803,11,CAN,7,7,10,24,2020
804,13,NZL,7,6,7,20,2020
805,15,HUN,6,7,7,20,2020
806,16,,6,4,10,20,2020
807,17,POL,4,5,5,14,2020
808,19,KEN,4,4,2,10,2020
809,20,NOR,4,2,2,8,2020
810,21,JAM,4,1,4,9,2020
811,23,SWE,3,6,0,9,2020
812,24,CHE,3,4,6,13,2020
813,25,DNK,3,4,4,11,2020
814,26,HRV,3,3,2,8,2020
815,27,,3,2,2,7,2020
816,29,BEL,3,1,3,7,2020
817,30,BGR,3,1,2,6,2020
818,33,GEO,2,5,1,8,2020
819,34,,2,4,6,12,2020
820,35,,2,2,9,13,2020
821,36,GRC,2,1,1,4,2020
822,39,IRL,2,0,2,4,2020
823,39,ISR,2,0,2,4,2020
824,46,ROU,1,3,0,4,2020
825,48,IND,1,2,4,7,2020
826,50,SVK,1,2,1,4,2020
827,52,ZAF,1,2,0,3,2020
828,53,AUT,1,1,5,7,2020
829,55,IDN,1,1,3,5,2020
830,56,PRT,1,1,2,4,2020
831,63,MAR,1,0,0,1,2020
832,66,COL,0,4,1,5,2020
833,67,AZE,0,3,4,7,2020
834,72,ARG,0,1,2,3,2020
835,83,KAZ,0,0,8,8,2020
836,84,MEX,0,0,4,4,2020
837,85,FIN,0,0,2,2,2020
838,1,USA,40,44,42,126,2024
839,2,CHN,40,27,24,91,2024
840,3,JPN,20,12,13,45,2024
841,4,AUS,18,19,16,53,2024
842,5,FRA,16,26,22,64,2024
843,6,NLD,15,7,12,34,2024
844,7,GBR,14,22,29,65,2024
845,8,,13,9,10,32,2024
846,9,ITA,12,13,15,40,2024
847,10,DEU,12,13,8,33,2024
848,11,NZL,10,7,3,20,2024
849,12,CAN,9,7,11,27,2024
850,14,HUN,6,7,6,19,2024
851,16,SWE,4,4,3,11,2024
852,17,KEN,4,2,5,11,2024
853,18,NOR,4,1,3,8,2024
854,19,IRL,4,0,3,7,2024
855,21,,3,6,3,12,2024
856,23,ROU,3,4,2,9,2024
857,24,GEO,3,3,1,7,2024
858,25,BEL,3,1,6,10,2024
859,26,BGR,3,1,3,7,2024
860,29,DNK,2,2,5,9,2024
861,30,AZE,2,2,3,7,2024
862,30,HRV,2,2,3,7,2024
863,35,,2,0,5,7,2024
864,36,AUT,2,0,3,5,2024
865,39,IDN,2,0,1,3,2024
866,41,ISR,1,5,1,7,2024
867,42,POL,1,4,5,10,2024
868,43,KAZ,1,3,3,7,2024
869,44,JAM,1,3,2,6,2024
870,44,ZAF,1,3,2,6,2024
871,48,CHE,1,2,5,8,2024
872,50,PRT,1,2,1,4,2024
873,51,GRC,1,1,6,8,2024
874,52,ARG,1,1,1,3,2024
875,60,MAR,1,0,1,2,2024
876,64,,0,3,5,8,2024
877,65,MEX,0,3,2,5,2024
878,66,COL,0,3,1,4,2024
879,68,,0,2,4,6,2024
880,71,IND,0,1,5,6,2024
881,84,SVK,0,0,1,1,2024
